UNIQUD,NAME,Fold change (Stage1 DAM to Stage2 DAM),Z-value (Mann Whitney), -log10(p-value) Mann Whitney
1110003O08Rik,1110003O08Rik,0.0007,-0.0216,0.0075
1110004E09Rik,1110004E09Rik,0.0339,-0.8916,0.4288
1110004F10Rik,1110004F10Rik,0.0147,-2.887,2.4101
1110005A03Rik,1110005A03Rik,0.0344,-0.8164,0.3827
1110006G14Rik,1110006G14Rik,0,,
1110007C09Rik,1110007C09Rik,-0.0008,-0.8262,0.3886
1110008E08Rik,1110008E08Rik,0,,
1110008F13Rik,1110008F13Rik,-0.0701,-4.3604,4.8867
1110008J03Rik,1110008J03Rik,-0.0049,-1.2979,0.7115
1110008L16Rik,1110008L16Rik,-0.012,-2.0286,1.3716
1110008P14Rik,1110008P14Rik,-0.0202,-2.5755,1.9996
1110012D08Rik,1110012D08Rik,0.0134,-0.8941,0.4303
1110012J17Rik,1110012J17Rik,-0.0017,-1.431,0.8169
1110012L19Rik,1110012L19Rik,-0.0133,-1.7696,1.1147
1110014N23Rik,1110014N23Rik,-0.0308,-2.1054,1.4527
1110017D15Rik,1110017D15Rik,0,,
1110017F19Rik,1110017F19Rik,0,,
1110018G07Rik,1110018G07Rik,0.0026,-2.7009,2.1602
1110018J18Rik,1110018J18Rik,-0.0155,-3.152,2.7901
1110018N20Rik,1110018N20Rik,0,,
1110019D14Rik,1110019D14Rik,0.0075,-0.0289,0.0101
1110020A21Rik,1110020A21Rik,-0.0009,-1.431,0.8169
1110020G09Rik,1110020G09Rik,0.0044,-0.7301,0.3322
1110021J02Rik,1110021J02Rik,0,-0.6523,0.2889
1110021L09Rik,1110021L09Rik,-0.0223,-2.825,2.3253
1110025L11Rik,1110025L11Rik,0,,
1110028C15Rik,1110028C15Rik,-0.0254,-2.2161,1.5738
1110028F11Rik,1110028F11Rik,0,,
1110031I02Rik,1110031I02Rik,-0.065,-5.2911,6.9151
1110032A03Rik,1110032A03Rik,-0.0342,-2.2062,1.5627
1110032A04Rik,1110032A04Rik,0,,
1110032F04Rik,1110032F04Rik,-0.0145,-1.431,0.8169
1110034A24Rik,1110034A24Rik,0.0131,-0.0221,0.0077
1110034B05Rik,1110034B05Rik,-0.0223,-1.8012,1.1447
1110034G24Rik,1110034G24Rik,-0.0278,-3.3787,3.1377
1110035H17Rik,1110035H17Rik,-0.0001,-0.5167,0.218
1110035M17Rik,1110035M17Rik,-0.0047,-1.5382,0.9065
1110036E04Rik,1110036E04Rik,0,,
1110037F02Rik,1110037F02Rik,-0.0069,-0.4927,0.2061
1110038B12Rik,1110038B12Rik,0.0309,-1.6187,0.9767
1110038D17Rik,1110038D17Rik,-0.046,-3.5095,3.3478
1110038F14Rik,1110038F14Rik,0.0135,-1.9456,1.2865
1110046J04Rik,1110046J04Rik,0,,
1110049F12Rik,1110049F12Rik,0.0169,-1.234,0.6631
1110050K14Rik,1110050K14Rik,0,,
1110051M20Rik,1110051M20Rik,0.0333,1.2329,0.6623
1110054M08Rik,1110054M08Rik,-0.0003,-0.0216,0.0075
1110054O05Rik,1110054O05Rik,-0.0301,-3.1036,2.7186
1110057K04Rik,1110057K04Rik,-0.0078,-2.1493,1.5002
1110057P08Rik,1110057P08Rik,0,,
1110058L19Rik,1110058L19Rik,0.0368,-1.6952,1.0456
1110059E24Rik,1110059E24Rik,-0.011,-1.4617,0.8422
1110059G10Rik,1110059G10Rik,0.0148,-1.8073,1.1504
1110059M19Rik,1110059M19Rik,0,,
1110065P20Rik,1110065P20Rik,0.0008,-0.8561,0.4068
1110067D22Rik,1110067D22Rik,-0.0138,-1.7815,1.126
1190002H23Rik,1190002H23Rik,-0.0005,-1.2501,0.6751
1190002N15Rik,1190002N15Rik,-0.0546,-4.301,4.7695
1190003J15Rik,1190003J15Rik,0,,
1190005F20Rik,1190005F20Rik,-0.0285,-1.7165,1.0651
1190005I06Rik,1190005I06Rik,0,,
1190007F08Rik,1190007F08Rik,0.0001,-1.7934,1.1372
1190007I07Rik,1190007I07Rik,-0.0142,-1.8953,1.2362
1200007C13Rik,1200007C13Rik,0,,
1200009I06Rik,1200009I06Rik,0,,
1200011I18Rik,1200011I18Rik,-0.0205,-2.3925,1.7763
1200011M11Rik,1200011M11Rik,0.0241,-1.0262,0.516
1200014J11Rik,1200014J11Rik,0.0054,-1.5165,0.8881
1200016B10Rik,1200016B10Rik,-0.0213,-2.6578,2.1043
1300001I01Rik,1300001I01Rik,-0.0038,-2.5556,1.9747
1300002E11Rik,1300002E11Rik,-0.0243,-3.3221,3.0489
1300002K09Rik,1300002K09Rik,-0.006,-2.0286,1.3716
1300010F03Rik,1300010F03Rik,0.0045,-1.1604,0.6093
1300014I06Rik,1300014I06Rik,-0.0678,-4.0581,4.3057
1300015D01Rik,1300015D01Rik,0,,
1300017J02Rik,1300017J02Rik,0,,
1300018I17Rik,1300018I17Rik,-0.029,-1.4146,0.8036
1300018J18Rik,1300018J18Rik,-0.0174,-2.0235,1.3663
1500001M20Rik,1500001M20Rik,-0.014,-2.1737,1.5269
1500002C15Rik,1500002C15Rik,0,,
1500002F19Rik,1500002F19Rik,0,,
1500002O10Rik,1500002O10Rik,0,,
1500002O20Rik,1500002O20Rik,0.0082,-2.2185,1.5764
1500003O03Rik,1500003O03Rik,0.0101,-1.6753,1.0274
1500009C09Rik,1500009C09Rik,0.0211,0.6927,0.3111
1500009L16Rik,1500009L16Rik,0,,
1500010J02Rik,1500010J02Rik,0.0962,-0.7499,0.3436
1500011H22Rik,1500011H22Rik,0.0012,-0.5167,0.218
1500011K16Rik,1500011K16Rik,-0.0095,-3.4753,3.2923
1500012F01Rik,1500012F01Rik,-0.0952,-5.3402,7.0322
1500012K07Rik,1500012K07Rik,0,,
1500015O10Rik,1500015O10Rik,0,,
1500016L03Rik,1500016L03Rik,0,,
1500017E21Rik,1500017E21Rik,-0.0111,-2.0286,1.3716
1500026H17Rik,1500026H17Rik,-0.0053,-1.2501,0.6751
1500031L02Rik,1500031L02Rik,0.0128,-0.7301,0.3323
1500032L24Rik,1500032L24Rik,-0.0071,-3.329,3.0598
1500035N22Rik,1500035N22Rik,0,,
1520401A03Rik,1520401A03Rik,0,,
1520402A15Rik,1520402A15Rik,0,,
1600002D24Rik,1600002D24Rik,0,,
1600002H07Rik,1600002H07Rik,-0.0039,-1.8116,1.1546
1600002K03Rik,1600002K03Rik,-0.0097,-3.0855,2.692
1600010F14Rik,1600010F14Rik,0,,
1600012F09Rik,1600012F09Rik,-0.0126,-1.3829,0.7781
1600012H06Rik,1600012H06Rik,-0.0892,-3.4581,3.2643
1600012P17Rik,1600012P17Rik,0,,
1600014C10Rik,1600014C10Rik,-0.0748,-3.461,3.269
1600014K23Rik,1600014K23Rik,0,,
1600015I10Rik,1600015I10Rik,0,,
1600016N20Rik,1600016N20Rik,0,,
1600020E01Rik,1600020E01Rik,-0.0105,-0.5787,0.2497
1600021P15Rik,1600021P15Rik,-0.0331,-3.5307,3.3826
1600025M17Rik,1600025M17Rik,0,,
1600027N09Rik,1600027N09Rik,0.0008,-2.5194,1.9297
1600029D21Rik,1600029D21Rik,0,,
1600029I14Rik,1600029I14Rik,0,,
1600029O15Rik,1600029O15Rik,0.0186,-1.2896,0.7051
1700001C02Rik,1700001C02Rik,0,,
1700001C19Rik,1700001C19Rik,-0.0026,-1.431,0.8169
1700001F09Rik,1700001F09Rik,0,,
1700001G01Rik,1700001G01Rik,0,,
1700001G11Rik,1700001G11Rik,0,,
1700001G17Rik,1700001G17Rik,0,,
1700001J04Rik,1700001J04Rik,0,,
1700001J11Rik,1700001J11Rik,0,,
1700001K19Rik,1700001K19Rik,0,,
1700001L05Rik,1700001L05Rik,0.0008,0.6927,0.3111
1700001L19Rik,1700001L19Rik,0,,
1700001O22Rik,1700001O22Rik,0,,
1700001P01Rik,1700001P01Rik,0,,
1700003D09Rik,1700003D09Rik,0,,
1700003E16Rik,1700003E16Rik,0,,
1700003E24Rik,1700003E24Rik,0,,
1700003F12Rik,1700003F12Rik,0.0105,-2.092,1.4384
1700003F17Rik,1700003F17Rik,0,,
1700003G13Rik,1700003G13Rik,0,,
1700003G18Rik,1700003G18Rik,0,,
1700003H04Rik,1700003H04Rik,0,,
1700003M02Rik,1700003M02Rik,0,,
1700003M07Rik,1700003M07Rik,0,,
1700006A11Rik,1700006A11Rik,0,,
1700006D18Rik,1700006D18Rik,0,,
1700006E09Rik,1700006E09Rik,0,,
1700006J14Rik,1700006J14Rik,0,,
1700006P19Rik,1700006P19Rik,0,,
1700007B14Rik,1700007B14Rik,0,,
1700007G11Rik,1700007G11Rik,0,,
1700007I08Rik,1700007I08Rik,0,,
1700007J10Rik,1700007J10Rik,0,,
1700007K09Rik,1700007K09Rik,0,,
1700007K13Rik,1700007K13Rik,0,,
1700007L15Rik,1700007L15Rik,0.0197,0.3286,0.1293
1700007M16Rik,1700007M16Rik,0,,
1700007P06Rik,1700007P06Rik,0,,
1700008A04Rik,1700008A04Rik,0,,
1700008F21Rik,1700008F21Rik,0,,
1700008I05Rik,1700008I05Rik,0,,
1700008O03Rik,1700008O03Rik,0,,
1700008P02Rik,1700008P02Rik,0,,
1700008P20Rik,1700008P20Rik,0,,
1700009N14Rik,1700009N14Rik,0,,
1700009P17Rik,1700009P17Rik,0.0022,-0.7321,0.3334
1700010B08Rik,1700010B08Rik,0,,
1700010D01Rik,1700010D01Rik,0,,
1700010H22Rik,1700010H22Rik,0,,
1700010I14Rik,1700010I14Rik,-0.0086,-2.0286,1.3716
1700010K10Rik,1700010K10Rik,0,,
1700010K24Rik,1700010K24Rik,0,,
1700010L04Rik,1700010L04Rik,0,,
1700010M22Rik,1700010M22Rik,0,,
1700011A15Rik,1700011A15Rik,0,,
1700011E24Rik,1700011E24Rik,0,,
1700011F03Rik,1700011F03Rik,0,,
1700011F14Rik,1700011F14Rik,0,,
1700011H14Rik,1700011H14Rik,0,,
1700011I03Rik,1700011I03Rik,0,,
1700011J10Rik,1700011J10Rik,-0.016,-2.8284,2.3299
1700011L22Rik,1700011L22Rik,0,,
1700011M02Rik,1700011M02Rik,0,,
1700012A03Rik,1700012A03Rik,0,,
1700012A16Rik,1700012A16Rik,0,,
1700012B07Rik,1700012B07Rik,0,,
1700012B09Rik,1700012B09Rik,0,,
1700012B15Rik,1700012B15Rik,-0.0093,-2.5186,1.9288
1700012C08Rik,1700012C08Rik,0,,
1700012C14Rik,1700012C14Rik,0,,
1700012L04Rik,1700012L04Rik,0,,
1700012P22Rik,1700012P22Rik,0,,
1700013D24Rik,1700013D24Rik,0,,
1700013F07Rik,1700013F07Rik,0,,
1700013G23Rik,1700013G23Rik,0,,
1700013G24Rik,1700013G24Rik,0,,
1700013H16Rik,1700013H16Rik,0,,
1700013N06Rik,1700013N06Rik,0,,
1700013N18Rik,1700013N18Rik,0,,
1700014D04Rik,1700014D04Rik,0,,
1700014N06Rik,1700014N06Rik,0,,
1700015E13Rik,1700015E13Rik,0,,
1700015F17Rik,1700015F17Rik,0,,
1700015O11Rik,1700015O11Rik,0,,
1700016C15Rik,1700016C15Rik,0,,
1700016D06Rik,1700016D06Rik,0,,
1700016G14Rik,1700016G14Rik,0,,
1700016H13Rik,1700016H13Rik,0,,
1700016K19Rik,1700016K19Rik,0,,
1700016M24Rik,1700016M24Rik,0,,
1700016P03Rik,1700016P03Rik,0,,
1700017B05Rik,1700017B05Rik,-0.0163,-2.235,1.5949
1700017D01Rik,1700017D01Rik,0,,
1700017G19Rik,1700017G19Rik,0,,
1700017J07Rik,1700017J07Rik,0,,
1700017N19Rik,1700017N19Rik,0,,
1700018A04Rik,1700018A04Rik,0,,
1700018A14Rik,1700018A14Rik,0,,
1700018B08Rik,1700018B08Rik,0,,
1700018B24Rik,1700018B24Rik,0,,
1700018C11Rik,1700018C11Rik,0,,
1700018F24Rik,1700018F24Rik,0,,
1700018L24Rik,1700018L24Rik,0,,
1700018M17Rik,1700018M17Rik,-0.0034,-1.431,0.8169
1700019A02Rik,1700019A02Rik,0,,
1700019B03Rik,1700019B03Rik,0,,
1700019B21Rik,1700019B21Rik,0,,
1700019D03Rik,1700019D03Rik,0.005,-0.5167,0.218
1700019E08Rik,1700019E08Rik,0,,
1700019E19Rik,1700019E19Rik,-0.0017,-1.431,0.8169
1700019G06Rik,1700019G06Rik,0,,
1700019G17Rik,1700019G17Rik,0,,
1700019G24Rik,1700019G24Rik,0,,
1700019L03Rik,1700019L03Rik,0,,
1700019M22Rik,1700019M22Rik,0,,
1700019N12Rik,1700019N12Rik,0,,
1700019N19Rik,1700019N19Rik,0,,
1700019O17Rik,1700019O17Rik,0,,
1700020A23Rik,1700020A23Rik,0,,
1700020C07Rik,1700020C07Rik,0,,
1700020I14Rik,1700020I14Rik,0.0801,-1.3619,0.7614
1700020L24Rik,1700020L24Rik,0,,
1700020N01Rik,1700020N01Rik,0,,
1700020N15Rik,1700020N15Rik,0,,
1700020O03Rik,1700020O03Rik,-0.0128,-2.8765,2.3957
1700021A07Rik,1700021A07Rik,0,,
1700021C14Rik,1700021C14Rik,-0.0011,-1.2942,0.7086
1700021F05Rik,1700021F05Rik,0.03,-0.6595,0.2928
1700021F07Rik,1700021F07Rik,0,,
1700021J08Rik,1700021J08Rik,0,,
1700021K19Rik,1700021K19Rik,0.0038,-1.2415,0.6688
1700021L23Rik,1700021L23Rik,0,,
1700021N21Rik,1700021N21Rik,0.0017,0.6927,0.3111
1700021O21Rik,1700021O21Rik,0,,
1700022A21Rik,1700022A21Rik,0,,
1700022I11Rik,1700022I11Rik,0,,
1700022K14Rik,1700022K14Rik,0,,
1700022N22Rik,1700022N22Rik,-0.0017,-1.431,0.8169
1700022P22Rik,1700022P22Rik,0,,
1700023A16Rik,1700023A16Rik,0,,
1700023C21Rik,1700023C21Rik,0,,
1700023E05Rik,1700023E05Rik,0,,
1700023F06Rik,1700023F06Rik,0,,
1700023H06Rik,1700023H06Rik,-0.0017,-1.431,0.8169
1700023I07Rik,1700023I07Rik,0,,
1700023L04Rik,1700023L04Rik,0,,
1700024B05Rik,1700024B05Rik,0,,
1700024G13Rik,1700024G13Rik,0,,
1700024J04Rik,1700024J04Rik,0,,
1700024N20Rik,1700024N20Rik,-0.0017,-1.431,0.8169
1700024P03Rik,1700024P03Rik,0,,
1700024P04Rik,1700024P04Rik,0,,
1700024P16Rik,1700024P16Rik,0,,
1700025C18Rik,1700025C18Rik,0,,
1700025D23Rik,1700025D23Rik,0,,
1700025E21Rik,1700025E21Rik,0,,
1700025F22Rik,1700025F22Rik,0,,
1700025G04Rik,1700025G04Rik,0.0063,-0.895,0.4309
1700025K23Rik,1700025K23Rik,-0.012,-2.4881,1.8914
1700025N21Rik,1700025N21Rik,0,,
1700025O08Rik,1700025O08Rik,0,,
1700026D08Rik,1700026D08Rik,-0.0162,-1.431,0.8169
1700026D11Rik,1700026D11Rik,0,,
1700026J04Rik,1700026J04Rik,0,,
1700026J12Rik,1700026J12Rik,0,,
1700026J14Rik,1700026J14Rik,0,,
1700026L06Rik,1700026L06Rik,0,,
1700027A07Rik,1700027A07Rik,0,,
1700027A23Rik,1700027A23Rik,0,,
1700027D21Rik,1700027D21Rik,0,,
1700027L20Rik,1700027L20Rik,0,,
1700028E10Rik,1700028E10Rik,0,,
1700028I16Rik,1700028I16Rik,0,,
1700028J19Rik,1700028J19Rik,0.0058,0.6927,0.3111
1700028K03Rik,1700028K03Rik,0,,
1700028N14Rik,1700028N14Rik,0,,
1700028P14Rik,1700028P14Rik,0,,
1700028P15Rik,1700028P15Rik,0,,
1700029F09Rik,1700029F09Rik,-0.0226,-2.6595,2.1065
1700029F12Rik,1700029F12Rik,0,,
1700029G01Rik,1700029G01Rik,0,,
1700029H14Rik,1700029H14Rik,0,,
1700029I01Rik,1700029I01Rik,-0.0069,-1.8054,1.1486
1700029I15Rik,1700029I15Rik,0,,
1700029J07Rik,1700029J07Rik,0,,
1700029J11Rik,1700029J11Rik,0.0004,0.6927,0.3111
1700029M20Rik,1700029M20Rik,0,,
1700029P11Rik,1700029P11Rik,0,,
1700030A11Rik,1700030A11Rik,0,,
1700030C10Rik,1700030C10Rik,0,,
1700030C12Rik,1700030C12Rik,0,,
1700030C14Rik,1700030C14Rik,0,,
1700030F18Rik,1700030F18Rik,0,,
1700030G06Rik,1700030G06Rik,0,,
1700030J22Rik,1700030J22Rik,0,,
1700030K09Rik,1700030K09Rik,0.0354,0.1676,0.062
1700031A10Rik,1700031A10Rik,0,,
1700031F05Rik,1700031F05Rik,0,,
1700031F10Rik,1700031F10Rik,0,,
1700034E13Rik,1700034E13Rik,0,,
1700034F02Rik,1700034F02Rik,0,,
1700034H14Rik,1700034H14Rik,-0.0106,-0.233,0.0884
1700034H15Rik,1700034H15Rik,0,,
1700034I23Rik,1700034I23Rik,0,,
1700034J04Rik,1700034J04Rik,0,,
1700034J05Rik,1700034J05Rik,0,,
1700034O15Rik,1700034O15Rik,0,,
1700034P13Rik,1700034P13Rik,0,,
1700036A12Rik,1700036A12Rik,0,,
1700036O09Rik,1700036O09Rik,0,,
1700037C06Rik,1700037C06Rik,0,,
1700037C18Rik,1700037C18Rik,0.0191,1.3906,0.7843
1700037F24Rik,1700037F24Rik,0,,
1700037H04Rik,1700037H04Rik,0.0267,-1.1432,0.597
1700039E15Rik,1700039E15Rik,0,,
1700039E22Rik,1700039E22Rik,0,,
1700039M10Rik,1700039M10Rik,0,,
1700040D17Rik,1700040D17Rik,0,,
1700040I03Rik,1700040I03Rik,-0.0226,-3.0008,2.5698
1700040L02Rik,1700040L02Rik,0,,
1700040N02Rik,1700040N02Rik,0,,
1700041G16Rik,1700041G16Rik,-0.0069,-1.431,0.8169
1700041M05Rik,1700041M05Rik,0,,
1700042B14Rik,1700042B14Rik,0,,
1700042G07Rik,1700042G07Rik,0,,
1700042G15Rik,1700042G15Rik,0,,
1700042O10Rik,1700042O10Rik,0,,
1700045H11Rik,1700045H11Rik,0,,
1700045I11Rik,1700045I11Rik,0,,
1700045I19Rik,1700045I19Rik,0,,
1700046C09Rik,1700046C09Rik,0,,
1700047A11Rik,1700047A11Rik,0,,
1700047F07Rik,1700047F07Rik,0,,
1700047G07Rik,1700047G07Rik,0,,
1700047I17Rik2,1700047I17Rik2,0.0103,-0.0168,0.0059
1700047K16Rik,1700047K16Rik,0,,
1700048O20Rik,1700048O20Rik,0,,
1700049E15Rik,1700049E15Rik,0,,
1700049E17Rik1,1700049E17Rik1,0,,
1700049E17Rik2,1700049E17Rik2,0,,
1700049G17Rik,1700049G17Rik,0.0033,0.9835,0.4876
1700049J03Rik,1700049J03Rik,0,,
1700049L16Rik,1700049L16Rik,0,,
1700051A21Rik,1700051A21Rik,0,,
1700052N19Rik,1700052N19Rik,-0.0063,-1.0424,0.5269
1700054M17Rik,1700054M17Rik,0,,
1700054N08Rik,1700054N08Rik,0,,
1700054O13Rik,1700054O13Rik,0,,
1700054O19Rik,1700054O19Rik,0,,
1700055D18Rik,1700055D18Rik,0,,
1700055N04Rik,1700055N04Rik,0,,
1700056E22Rik,1700056E22Rik,0,,
1700056N10Rik,1700056N10Rik,0,,
1700057G04Rik,1700057G04Rik,0,,
1700057H15Rik,1700057H15Rik,0,,
1700057H21Rik,1700057H21Rik,0,,
1700057K13Rik,1700057K13Rik,0,,
1700058G18Rik,1700058G18Rik,0,,
1700058P15Rik,1700058P15Rik,0,,
1700060C16Rik,1700060C16Rik,0,,
1700060C20Rik,1700060C20Rik,0,,
1700060J05Rik,1700060J05Rik,0,,
1700061E18Rik,1700061E18Rik,0,,
1700061F12Rik,1700061F12Rik,0,,
1700061G19Rik,1700061G19Rik,0,,
1700061H18Rik,1700061H18Rik,0,,
1700061I17Rik,1700061I17Rik,0,,
1700061J05Rik,1700061J05Rik,0,,
1700061J23Rik,1700061J23Rik,0,,
1700062I23Rik,1700062I23Rik,0,,
1700063H04Rik,1700063H04Rik,0,,
1700064E03Rik,1700064E03Rik,0,,
1700064H15Rik,1700064H15Rik,0,,
1700065D16Rik,1700065D16Rik,0,,
1700065I17Rik,1700065I17Rik,0,,
1700066B19Rik,1700066B19Rik,0,,
1700066J03Rik,1700066J03Rik,0,,
1700066J24Rik,1700066J24Rik,0,,
1700066M21Rik,1700066M21Rik,0.0292,-1.2942,0.7086
1700066O22Rik,1700066O22Rik,0,,
1700067G03Rik,1700067G03Rik,0,,
1700067K01Rik,1700067K01Rik,0.0112,0.6927,0.3111
1700067P10Rik,1700067P10Rik,0,,
1700069B07Rik,1700069B07Rik,0,,
1700069L16Rik,1700069L16Rik,0,,
1700071G01Rik,1700071G01Rik,0,,
1700071K01Rik,1700071K01Rik,0,,
1700071M16Rik,1700071M16Rik,0,,
1700072E05Rik,1700072E05Rik,0,,
1700073E17Rik,1700073E17Rik,0,,
1700074P13Rik,1700074P13Rik,0,,
1700080E11Rik,1700080E11Rik,0,,
1700080G11Rik,1700080G11Rik,0,,
1700080N15Rik,1700080N15Rik,0,,
1700080O16Rik,1700080O16Rik,0,,
1700081H22Rik,1700081H22Rik,0,,
1700081L11Rik,1700081L11Rik,-0.0256,-3.2308,2.9085
1700082M22Rik,1700082M22Rik,0,,
1700084C01Rik,1700084C01Rik,0,,
1700084C06Rik,1700084C06Rik,0,,
1700084E18Rik,1700084E18Rik,0,,
1700084J12Rik,1700084J12Rik,0,,
1700084M14Rik,1700084M14Rik,0,,
1700085B03Rik,1700085B03Rik,0,,
1700086D15Rik,1700086D15Rik,0,,
1700086L19Rik,1700086L19Rik,0,,
1700086O06Rik,1700086O06Rik,-0.0026,-1.431,0.8169
1700086P04Rik,1700086P04Rik,0,,
1700087M22Rik,1700087M22Rik,0,,
1700088E04Rik,1700088E04Rik,0,,
1700090G07Rik,1700090G07Rik,0,,
1700091E21Rik,1700091E21Rik,0,,
1700091H14Rik,1700091H14Rik,0,,
1700092C02Rik,1700092C02Rik,0,,
1700092C10Rik,1700092C10Rik,0,,
1700092C17Rik,1700092C17Rik,0,,
1700092E19Rik,1700092E19Rik,0,,
1700092K14Rik,1700092K14Rik,0,,
1700092M07Rik,1700092M07Rik,0,,
1700093J21Rik,1700093J21Rik,0,,
1700093K21Rik,1700093K21Rik,0,,
1700094C10Rik,1700094C10Rik,0,,
1700094D03Rik,1700094D03Rik,-0.003,-1.1697,0.616
1700095A21Rik,1700095A21Rik,0,,
1700095B22Rik,1700095B22Rik,0,,
1700095J03Rik,1700095J03Rik,0,,
1700095J07Rik,1700095J07Rik,0,,
1700095J12Rik,1700095J12Rik,0,,
1700099I09Rik,1700099I09Rik,0,,
1700101E01Rik,1700101E01Rik,0,,
1700101G07Rik,1700101G07Rik,0.0037,0.6927,0.3111
1700101I11Rik,1700101I11Rik,0,,
1700101I19Rik,1700101I19Rik,0,,
1700102P08Rik,1700102P08Rik,0,,
1700104A03Rik,1700104A03Rik,0,,
1700104B16Rik,1700104B16Rik,0,,
1700106J16Rik,1700106J16Rik,0,,
1700106N22Rik,1700106N22Rik,0,,
1700108M19Rik,1700108M19Rik,0,,
1700108N11Rik,1700108N11Rik,0,,
1700109F18Rik,1700109F18Rik,0,,
1700109G15Rik,1700109G15Rik,0,,
1700109H08Rik,1700109H08Rik,0,-0.5167,0.218
1700109K24Rik,1700109K24Rik,0,,
1700110I01Rik,1700110I01Rik,0,,
1700110K17Rik,1700110K17Rik,0,,
1700110M21Rik,1700110M21Rik,0,,
1700111E14Rik,1700111E14Rik,0,,
1700112D23Rik,1700112D23Rik,0.0129,0.6927,0.3111
1700112E06Rik,1700112E06Rik,-0.0221,-1.8097,1.1528
1700112J05Rik,1700112J05Rik,0,,
1700112J16Rik,1700112J16Rik,0.0075,0.6927,0.3111
1700112K13Rik,1700112K13Rik,0,,
1700112M01Rik,1700112M01Rik,0,,
1700113A16Rik,1700113A16Rik,0.005,0.6927,0.3111
1700113H08Rik,1700113H08Rik,0,,
1700119I11Rik,1700119I11Rik,0,,
1700120B22Rik,1700120B22Rik,0,,
1700120E14Rik,1700120E14Rik,0,,
1700120G11Rik,1700120G11Rik,0,,
1700121C08Rik,1700121C08Rik,0,,
1700121F15Rik,1700121F15Rik,0,,
1700121N20Rik,1700121N20Rik,0,,
1700122E12Rik,1700122E12Rik,0,,
1700123I01Rik,1700123I01Rik,0,,
1700123K08Rik,1700123K08Rik,0,,
1700123L14Rik,1700123L14Rik,0,,
1700123M08Rik,1700123M08Rik,0.0313,0.6927,0.3111
1700123O12Rik,1700123O12Rik,0,,
1700123O20Rik,1700123O20Rik,-0.023,-1.3809,0.7765
1700125D06Rik,1700125D06Rik,0.0062,0.6927,0.3111
1700125G02Rik,1700125G02Rik,0,,
1700125G22Rik,1700125G22Rik,0.0013,0.6927,0.3111
1700125H03Rik,1700125H03Rik,0,,
1700125H20Rik,1700125H20Rik,0,,
1700128E19Rik,1700128E19Rik,0,,
1700128F08Rik,1700128F08Rik,0,,
1700129C05Rik,1700129C05Rik,0,,
1810006K21Rik,1810006K21Rik,0.0441,-2.0356,1.379
